INFO 2021-12-08 18:03:44,616 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:03:44,616 - covid_data_handling.schedule_covid_updates: Calculating seconds
INFO 2021-12-08 18:03:44,618 - covid_dashboard.execute_update: Executing scheduled update
INFO 2021-12-08 18:03:44,618 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-08 18:03:44,862 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-08 18:03:45,092 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-08 18:03:45,092 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-08 18:03:45,092 - covid_news_handling.news_api_request: Fetching news API
INFO 2021-12-08 18:03:45,382 - covid_dashboard.update_news: Writing news data to the config
INFO 2021-12-08 18:03:45,393 - 127.0.0.1 - - [08/Dec/2021 18:03:45] "GET /index HTTP/1.1" 200 -
INFO 2021-12-08 18:03:45,685 - 127.0.0.1 - - [08/Dec/2021 18:03:45] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:03:51,201 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:03:51,201 - covid_data_handling.schedule_covid_updates: Calculating seconds
INFO 2021-12-08 18:03:51,201 - covid_dashboard.execute_update: Executing scheduled update
INFO 2021-12-08 18:03:51,201 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-08 18:03:51,412 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-08 18:03:51,601 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-08 18:03:51,601 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-08 18:03:51,602 - covid_news_handling.news_api_request: Fetching news API
INFO 2021-12-08 18:03:51,783 - covid_dashboard.update_news: Writing news data to the config
INFO 2021-12-08 18:03:51,785 - 127.0.0.1 - - [08/Dec/2021 18:03:51] "GET /index?update_item=Final+Test%3F HTTP/1.1" 200 -
INFO 2021-12-08 18:03:51,810 - 127.0.0.1 - - [08/Dec/2021 18:03:51] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:04:04,219 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:04:04,221 - 127.0.0.1 - - [08/Dec/2021 18:04:04] "GET /index?update=18%3A04&two=Final+Test%3F&covid-data=covid-data HTTP/1.1" 200 -
INFO 2021-12-08 18:04:04,260 - 127.0.0.1 - - [08/Dec/2021 18:04:04] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:05:04,301 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:05:04,301 - covid_data_handling.schedule_covid_updates: Calculating seconds
INFO 2021-12-08 18:05:04,303 - 127.0.0.1 - - [08/Dec/2021 18:05:04] "GET /index HTTP/1.1" 200 -
INFO 2021-12-08 18:05:04,341 - 127.0.0.1 - - [08/Dec/2021 18:05:04] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:06:04,374 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:06:04,374 - covid_data_handling.schedule_covid_updates: Calculating seconds
INFO 2021-12-08 18:06:04,376 - 127.0.0.1 - - [08/Dec/2021 18:06:04] "GET /index HTTP/1.1" 200 -
INFO 2021-12-08 18:06:04,394 - 127.0.0.1 - - [08/Dec/2021 18:06:04] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:06:14,807 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:06:14,807 - covid_data_handling.schedule_covid_updates: Calculating seconds
INFO 2021-12-08 18:06:14,809 - 127.0.0.1 - - [08/Dec/2021 18:06:14] "GET /index?update_item=Final+Test%3F HTTP/1.1" 200 -
